layer,module,module_path,raw_grad_norm,mean_batch_grad_norm,normalized_grad_norm,relative_grad_norm,parameter_count,weight_norm,batches
0,k_proj,base_model.model.model.language_model.layers.0.self_attn.k_proj,2.917354651146269,2.684382127839974,0.01519455547472015,1.2438285661795365,36864,2.345463619721955,32
0,o_proj,base_model.model.model.language_model.layers.0.self_attn.o_proj,13.518157119034967,12.376844747297126,0.05280530124623034,5.645642019756546,65536,2.3944410700720016,32
0,q_proj,base_model.model.model.language_model.layers.0.self_attn.q_proj,2.3004238612161942,2.097692911588519,0.008986030707875759,0.9768068538318778,65536,2.3550447585323275,32
0,v_proj,base_model.model.model.language_model.layers.0.self_attn.v_proj,30.92284262477987,28.344832812687805,0.16105647200406184,13.08695104746538,36864,2.3628760062303265,32
1,k_proj,base_model.model.model.language_model.layers.1.self_attn.k_proj,0.7788812134809556,0.7192217181881886,0.004056672986879977,0.3322181624299855,36864,2.344487152007445,32
1,o_proj,base_model.model.model.language_model.layers.1.self_attn.o_proj,12.71196915448627,11.400120736024247,0.049656129509711995,5.289540202706659,65536,2.4032276279848035,32
1,q_proj,base_model.model.model.language_model.layers.1.self_attn.q_proj,0.6346779994134162,0.5740579467016663,0.002479210935208657,0.26924861009501555,65536,2.3572192227442677,32
1,v_proj,base_model.model.model.language_model.layers.1.self_attn.v_proj,7.562014712361613,6.711601632713956,0.03938549329355007,3.180329003190971,36864,2.3777460460131996,32
10,k_proj,base_model.model.model.language_model.layers.10.self_attn.k_proj,2.326001797463201,2.184676904222878,0.012114592695120838,0.9971755740871565,36864,2.3325900251733436,32
10,o_proj,base_model.model.model.language_model.layers.10.self_attn.o_proj,12.306556849800133,11.68330214768033,0.04807248769453177,5.10500039833043,65536,2.4106867560323475,32
10,q_proj,base_model.model.model.language_model.layers.10.self_attn.q_proj,2.1003218391248,1.9733081452749348,0.00820438218408125,0.8987144930955261,65536,2.337029006719995,32
10,v_proj,base_model.model.model.language_model.layers.10.self_attn.v_proj,9.85888686904132,9.311912996581395,0.05134836910959021,4.132444000190738,36864,2.385727881268842,32
11,k_proj,base_model.model.model.language_model.layers.11.self_attn.k_proj,3.02540602972158,2.8131463699656925,0.015757323071466562,1.3037635132141736,36864,2.3205174857683586,32
11,o_proj,base_model.model.model.language_model.layers.11.self_attn.o_proj,13.507681649311523,12.799895393832687,0.05276438144262314,5.597845670905643,65536,2.4130142993242965,32
11,q_proj,base_model.model.model.language_model.layers.11.self_attn.q_proj,2.719913221490942,2.515543250705064,0.010624661021448992,1.1647664246001534,65536,2.3351576453824054,32
11,v_proj,base_model.model.model.language_model.layers.11.self_attn.v_proj,8.431894445679877,7.873439291518312,0.04391611690458269,3.5779615410727796,36864,2.356619641905979,32
12,k_proj,base_model.model.model.language_model.layers.12.self_attn.k_proj,2.517548438359401,2.337830371017077,0.013112231449788547,1.0796479246702153,36864,2.3318235332386905,32
12,o_proj,base_model.model.model.language_model.layers.12.self_attn.o_proj,11.859671738580948,11.4174890645895,0.04632684272883183,4.89916216022566,65536,2.420755090505063,32
12,q_proj,base_model.model.model.language_model.layers.12.self_attn.q_proj,3.2003823839492065,3.013422790693259,0.012501493687301588,1.3652906104120073,65536,2.3441034161818877,32
12,v_proj,base_model.model.model.language_model.layers.12.self_attn.v_proj,8.895200758103366,8.499892056841,0.0463291706151217,3.758879208316993,36864,2.3664502808225008,32
13,k_proj,base_model.model.model.language_model.layers.13.self_attn.k_proj,3.1271952413465596,2.8583592161403923,0.016287475215346663,1.3395976117614978,36864,2.334428797042366,32
13,o_proj,base_model.model.model.language_model.layers.13.self_attn.o_proj,7.590315079574238,7.228056203964489,0.029649668279586868,3.1685118729157504,65536,2.395545727460461,32
13,q_proj,base_model.model.model.language_model.layers.13.self_attn.q_proj,3.1615518747580706,2.9445357596845643,0.012349812010773713,1.3495044136776946,65536,2.3427503035286863,32
13,v_proj,base_model.model.model.language_model.layers.13.self_attn.v_proj,6.493398254329683,6.201872805455413,0.033819782574633764,2.747747230592417,36864,2.363171612742178,32
14,k_proj,base_model.model.model.language_model.layers.14.self_attn.k_proj,2.402984812876719,2.2537188199882316,0.012515545900399577,1.0325331013211925,36864,2.3272714548336637,32
14,o_proj,base_model.model.model.language_model.layers.14.self_attn.o_proj,13.809566192642862,13.353108521722593,0.05394361794001118,5.720368737233033,65536,2.414104199743754,32
14,q_proj,base_model.model.model.language_model.layers.14.self_attn.q_proj,2.587918851289124,2.475271653153023,0.01010905801284814,1.1002008902861002,65536,2.352223920319726,32
14,v_proj,base_model.model.model.language_model.layers.14.self_attn.v_proj,11.124078028721762,10.583966352449892,0.05793790639959251,4.692767704083584,36864,2.3704727636607803,32
15,k_proj,base_model.model.model.language_model.layers.15.self_attn.k_proj,2.603521902796867,2.4646262728095336,0.013560009910400348,1.113359199548961,36864,2.338438397823883,32
15,o_proj,base_model.model.model.language_model.layers.15.self_attn.o_proj,12.377911456628876,11.848497244602063,0.04835121662745655,5.1869941317591275,65536,2.3863361211141028,32
15,q_proj,base_model.model.model.language_model.layers.15.self_attn.q_proj,2.2281893043612997,2.138536013233888,0.008703864470161327,0.9498744274587231,65536,2.3457724936564586,32
