layer,module,module_path,cosine,dot_product,preference_grad_norm,sft_grad_norm,pairs
0,k_proj,base_model.model.model.language_model.layers.0.self_attn.k_proj,0.7404030100585943,11.583345674560405,16.503050055613134,0.9479853465567205,32
0,o_proj,base_model.model.model.language_model.layers.0.self_attn.o_proj,0.7223221190770108,234.0781334466301,76.47024454411863,4.237770686811165,32
0,q_proj,base_model.model.model.language_model.layers.0.self_attn.q_proj,0.7173899403528952,6.97658893254993,13.013162494954498,0.7473172368743289,32
0,v_proj,base_model.model.model.language_model.layers.0.self_attn.v_proj,0.7132464902456266,1209.5027870973572,174.92601370837014,9.69421909595486,32
1,k_proj,base_model.model.model.language_model.layers.1.self_attn.k_proj,0.6821840925365884,0.7452278181590373,4.406017502329526,0.2479369485741635,32
1,o_proj,base_model.model.model.language_model.layers.1.self_attn.o_proj,0.7363898700239183,204.9755009606597,71.90975673097172,3.870849903123821,32
1,q_proj,base_model.model.model.language_model.layers.1.self_attn.q_proj,0.7413137455767979,0.5158951916819206,3.5902809380411056,0.19383446231239743,32
1,v_proj,base_model.model.model.language_model.layers.1.self_attn.v_proj,0.7433720437812756,72.45283592076157,42.77721506034669,2.2784350744003317,32
10,k_proj,base_model.model.model.language_model.layers.10.self_attn.k_proj,0.6784675359291218,6.808392838342115,13.157853152306624,0.7626591747443657,32
10,o_proj,base_model.model.model.language_model.layers.10.self_attn.o_proj,0.7064099206545,195.94806052348576,69.61639841241144,3.9844889621314517,32
10,q_proj,base_model.model.model.language_model.layers.10.self_attn.q_proj,0.6972948499686489,5.659666148712859,11.881214520954776,0.6831459828792024,32
10,v_proj,base_model.model.model.language_model.layers.10.self_attn.v_proj,0.7115695364782446,123.78692874638364,55.77028608040102,3.119281494299097,32
11,k_proj,base_model.model.model.language_model.layers.11.self_attn.k_proj,0.7321409010479337,11.743840299204749,17.11428095567039,0.9372529371980051,32
11,o_proj,base_model.model.model.language_model.layers.11.self_attn.o_proj,0.6888832327536444,229.9405028547626,76.41098633869814,4.368316095357548,32
11,q_proj,base_model.model.model.language_model.layers.11.self_attn.q_proj,0.723099989602608,9.44653581851162,15.386152665241545,0.8490713425679591,32
11,v_proj,base_model.model.model.language_model.layers.11.self_attn.v_proj,0.6992322238988345,87.04781035438646,47.69799792631541,2.6099745128252074,32
12,k_proj,base_model.model.model.language_model.layers.12.self_attn.k_proj,0.6896421607945233,7.49666481645545,14.241404581836283,0.7632933262302666,32
12,o_proj,base_model.model.model.language_model.layers.12.self_attn.o_proj,0.676492429443492,173.3184317004634,67.08843447197631,3.8188636475459794,32
